TIPLOC	type	_location_	Description	latitude	longitude
IRVN	FOI	55.611159,-4.6748	IRVINE	55.611159	-4.6748
ATTLBON	FOI	52.513661,1.021078	ATTLEBOROUGH	52.513661	1.021078
HMPTNIA	FOI	52.428356,-1.699391	HAMPTON-IN-ARDEN	52.428356	-1.699391
NQNSFRY	FOI	56.012329,-3.394546	NORTH QUEENSFERRY	56.012329	-3.394546
MRTNONL	FOI	52.111904,-2.715761	MORETON-ON-LUGG	52.111904	-2.715761
BLGRVE	FOI	55.856673,-4.224053	BELLGROVE	55.856673	-4.224053
NANTWCH	FOI	53.063489,-2.519048	NANTWICH	53.063489	-2.519048
MNTFLDT	FOI	50.955503,0.464958	MOUNTFIELD TUNNEL	50.955503	0.464958
EMALING	FOI	51.285714,0.439892	EAST MALLING	51.285714	0.439892
LUDLOW	FOI	52.370991,-2.715889	LUDLOW	52.370991	-2.715889
HOUGHGR	FOI	53.372625,-2.77483	HOUGH GREEN	53.372625	-2.77483
ATHERTN	FOI	53.529075,-2.47784	ATHERTON	53.529075	-2.47784
LAWRNCH	FOI	51.458776,-2.564079	LAWRENCE HILL	51.458776	-2.564079
DAISYH	FOI	53.539329,-2.515135	DAISY HILL	53.539329	-2.515135
FULWELL	FOI	51.4338,-0.349587	FULWELL	51.4338	-0.349587
CROFTS	FOI	52.558616,-1.237606	CROFT	52.558616	-1.237606
WNCBROJ	FOI	55.969329,-3.469875	WINCHBURGH JN	55.969329	-3.469875
TATNHMC	FOI	51.308807,-0.242222	TATTENHAM CORNER	51.308807	-0.242222
STPLTNR	FOI	51.467272,-2.566142	STAPLETON ROAD	51.467272	-2.566142
TRFDPEJ	FOI	53.462628,-2.288607	TRAFFORD PARK EAST JN	53.462628	-2.288607
WHTLNGJ	FOI	52.625544,1.349914	WHITLINGHAM JN	52.625544	1.349914
BSSN	FOI	50.77991,0.082619	BISHOPSTONE	50.77991	0.082619
FRZNGHL	FOI	53.819855,-1.768579	FRIZINGHALL	53.819855	-1.768579
HELSBY	FOI	53.275424,-2.771301	HELSBY	53.275424	-2.771301
MAINDNJ	FOI	51.595503,-2.985763	MAINDEE NORTH JN	51.595503	-2.985763
SHVN	FOI	56.96666,-2.225691	STONEHAVEN	56.96666	-2.225691
HGHBRDG	FOI	51.217931,-2.972063	HIGHBRIDGE & BURNHAM	51.217931	-2.972063
SHRWEBJ	FOI	52.707717,-2.745855	ENGLISH BRIDGE JUNCTION	52.707717	-2.745855
BNTEY	FOI	51.181181,-0.8685	BENTLEY	51.181181	-0.8685
RCHDLEJ	FOI	53.612785,-2.146943	ROCHDALE EAST JN	53.612785	-2.146943
MILFDY	FOI	53.764828,-1.239645	MILFORD JN.	53.764828	-1.239645
FALKRKG	FOI	56.002372,-3.785452	FALKIRK GRAHAMSTON	56.002372	-3.785452
BNDON	FOI	52.453899,0.625064	BRANDON	52.453899	0.625064
YFIELDJ	OSM	52.880766,-2.194099	Yarnfield Junction	52.880766	-2.194099
COVNGHJ	FOI	52.396041,-1.509662	GIBBET HILL JUNCTION	52.396041	-1.509662
WATFJDC	FOI	51.663231,-0.395848	WATFORD JUNCTION DC	51.663231	-0.395848
WLSDSWS	FOI	51.530523,-0.246757	WILLESDEN S.W.S.	51.530523	-0.246757
WREXHMG	FOI	53.050776,-3.001635	WREXHAM GENERAL	53.050776	-3.001635
DIGSWEL	FOI	51.816127,-0.195927	DIGSWELL JN.	51.816127	-0.195927
HALRYDJ	FOI	53.716882,-2.086256	HALL ROYD JN	53.716882	-2.086256
BDSTNEJ	FOI	53.408803,-3.068458	BIDSTON EAST JN	53.408803	-3.068458
OULTNBN	FOI	52.477728,1.715841	OULTON BROAD NORTH	52.477728	1.715841
MSTONEW	FOI	51.270564,0.51575	MAIDSTONE WEST	51.270564	0.51575
MTFL	FOI	55.826571,-4.261148	MOUNT FLORIDA	55.826571	-4.261148
WHLAND	FOI	51.817967,-4.614721	WHITLAND	51.817967	-4.614721
TDITTON	FOI	51.38868,-0.339038	THAMES DITTON	51.38868	-0.339038
GLGN	FOI	55.738948,-4.674952	GLENGARNOCK	55.738948	-4.674952
CMTHN	FOI	51.852524,-4.306877	CARMARTHEN	51.852524	-4.306877
HYNDLEJ	FOI	55.882039,-4.321168	HYNDLAND EAST JN	55.882039	-4.321168
PONTRLS	FOI	51.945143,-2.87401	PONTRILAS	51.945143	-2.87401
CSTR	FOI	52.537393,-2.803605	CHURCH STRETTON	52.537393	-2.803605
RUGL	FOI	52.769771,-1.930103	RUGELEY TRENT VALLEY	52.769771	-1.930103
CASTLFD	FOI	53.724104,-1.35497	CASTLEFORD	53.724104	-1.35497
CREWSSN	FOI	58.258844,-3.941066	CREWE SSN SIGNAL BOX	58.258844	-3.941066
LGWOOD	FOI	52.622032,1.489821	LINGWOOD	52.622032	1.489821
WEMM	FOI	52.856281,-2.718134	WEM	52.856281	-2.718134
MRGMTC	FOI	51.550948,-3.748883	MARGAM T.C.	51.550948	-3.748883
PROBUS	FOI	50.298178,-4.965288	PROBUS	50.298178	-4.965288
DONCDNJ	FOI	53.502142,-1.115615	DECOY NTH JN	53.502142	-1.115615
MTIMER	FOI	51.372149,-1.035508	MORTIMER	51.372149	-1.035508
YOVILJN	FOI	50.924912,-2.611875	YEOVIL JUNCTION	50.924912	-2.611875
LTTLMLJ	FOI	51.715443,-2.993074	LITTLE MILL JN	51.715443	-2.993074
DRCHJN	FOI	50.70522,-2.441028	DORCHESTER JN	50.70522	-2.441028
REDISHN	FOI	53.449554,-2.156331	REDDISH NORTH	53.449554	-2.156331
YSTRADM	FOI	51.64035,-3.241987	YSTRAD MYNACH	51.64035	-3.241987
LEASOWE	FOI	53.408059,-3.099895	LEASOWE	53.408059	-3.099895
LNGLNDJ	FOI	54.317879,-1.432978	LONGLANDS JN	54.317879	-1.432978
NUTFILD	FOI	51.22683,-0.132516	NUTFIELD	51.22683	-0.132516
WALAGRD	FOI	53.428101,-3.069694	WALLASEY GROVE ROAD	53.428101	-3.069694
WALASYV	FOI	53.423242,-3.069196	WALLASEY VILLAGE	53.423242	-3.069196
THNGLYJ	FOI	51.437129,-2.141412	THINGLEY JN	51.437129	-2.141412
GLHM	FOI	51.034052,-2.272267	GILLINGHAM (DORSET)	51.034052	-2.272267
WORCPWY	NaPTAN	52.156046,-2.160025	Worcestershire Parkway Rail Station	52.156046	-2.160025
TROON	FOI	55.542864,-4.655684	TROON	55.542864	-4.655684
HAGLEY	FOI	52.42229,-2.146608	HAGLEY	52.42229	-2.146608
HSFT	FOI	53.847821,-1.630258	HORSFORTH	53.847821	-1.630258
TRAMINN	FOI	51.998386,-2.78216	TRAM INN	51.998386	-2.78216
KIDWELY	FOI	51.734426,-4.317627	KIDWELLY	51.734426	-4.317627
BDMNSTR	FOI	51.440938,-2.592764	BEDMINSTER	51.440938	-2.592764
PBLJWM	FOI	52.586511,-2.079172	PORTOBELLO JN (WEST MIDS)	52.586511	-2.079172
DUNANE	FOI	56.185573,-3.96555	DUNBLANE	56.185573	-3.96555
FYSD	FOI	51.768503,-4.369349	FERRYSIDE	51.768503	-4.369349
CRNF	FOI	54.129467,-2.771596	CARNFORTH	54.129467	-2.771596
HOYLAKE	FOI	53.390223,-3.17832	HOYLAKE	53.390223	-3.17832
WLSDUDG	OSM	51.538702,-0.266673	Willesden Up & Down Goods	51.538702	-0.266673
CNTLEY	FOI	52.578741,1.513279	CANTLEY	52.578741	1.513279
MELS	FOI	53.399302,-3.154356	MEOLS	53.399302	-3.154356
MNRD	FOI	53.394786,-3.1704	MANOR ROAD	53.394786	-3.1704
MOTO	FOI	53.407251,-3.113443	MORETON (MERSEYSIDE)	53.407251	-3.113443
DLREOCH	FOI	55.947417,-4.577719	DALREOCH	55.947417	-4.577719
HESSLRD	FOI	53.733029,-0.381895	HESSLE ROAD JN.	53.733029	-0.381895
DRBYCHC	FOI	52.920504,-1.453936	CHADDESDEN CURVE	52.920504	-1.453936
WIDNES	FOI	53.378627,-2.73393	WIDNES	53.378627	-2.73393
ALVCHRC	FOI	52.346779,-1.967895	ALVECHURCH	52.346779	-1.967895
GOOLE	FOI	53.704967,-0.874212	GOOLE	53.704967	-0.874212
SXMNDHM	FOI	52.215337,1.49039	SAXMUNDHAM	52.215337	1.49039
LOWSTFT	FOI	52.474361,1.748685	LOWESTOFT	52.474361	1.748685
DRLSTNJ	FOI	52.571856,-2.015405	DARLASTON JN	52.571856	-2.015405
NTHOPKJ	FOI	51.557474,-0.35941	NORTHOLT PARK JN	51.557474	-0.35941
DYCLJN	FOI	53.708827,-1.855223	DRYCLOUGH JN	53.708827	-1.855223
CREWEGL	FOI	53.080237,-2.435786	CREWE GRESTY LANE	53.080237	-2.435786
BECCLES	FOI	52.458624,1.569664	BECCLES	52.458624	1.569664
STHGYLE	FOI	55.936558,-3.299547	SOUTH GYLE	55.936558	-3.299547
ENFLDTN	FOI	51.651654,-0.078736	ENFIELD TOWN	51.651654	-0.078736
BERWICK	FOI	50.840715,0.165238	BERWICK	50.840715	0.165238
NEEDHAM	FOI	52.152487,1.055692	NEEDHAM MARKET	52.152487	1.055692
HROW307	FOI	51.592011,-0.334317	HARROW D.C. TURNBACK WS307	51.592011	-0.334317
ABER	FOI	51.574883,-3.229812	ABER	51.574883	-3.229812
HANWELL	FOI	51.511734,-0.338573	HANWELL	51.511734	-0.338573
LLBRDCH	FOI	51.603686,-3.233074	LLANBRADACH	51.603686	-3.233074
BACHE	FOI	53.208614,-2.891577	BACHE	53.208614	-2.891577
THUSTON	FOI	52.249888,0.808895	THURSTON	52.249888	0.808895
APSLEY	FOI	51.732138,-0.462615	APSLEY	51.732138	-0.462615
RDNGBUS	NaPTAN	51.458146,-0.971662	Reading Rail Station - buses	51.458146	-0.971662
RHYL	FOI	53.318135,-3.488915	RHYL	53.318135	-3.488915
STAMUFF	FOI	52.646675,-0.41726	UFFINGTON SB (LINCS)	52.646675	-0.41726
FRESHFD	FOI	51.341777,-2.300576	FRESHFORD	51.341777	-2.300576
SCNTFOB	FOI	53.597847,-0.589892	SCUNTHORPE F.O.B. JN	53.597847	-0.589892
KLGL	FOI	51.706249,-0.437919	KINGS LANGLEY	51.706249	-0.437919
HAGT	FOI	53.99294,-1.53726	HARROGATE	53.99294	-1.53726
SOUTHPT	FOI	53.646074,-3.001743	SOUTHPORT	53.646074	-3.001743
PLKLHDE	FOI	55.840882,-4.268816	POLLOKSHIELDS EAST	55.840882	-4.268816
COSELEY	FOI	52.545297,-2.085793	COSELEY	52.545297	-2.085793
KMSLY	FOI	51.361844,0.735021	KEMSLEY	51.361844	0.735021
SNODLND	FOI	51.330415,0.448366	SNODLAND	51.330415	0.448366
CBAY	FOI	53.296732,-3.725642	COLWYN BAY	53.296732	-3.725642
ELSENHM	FOI	51.920332,0.228802	ELSENHAM	51.920332	0.228802
NEWPRTE	FOI	51.979802,0.215297	NEWPORT (ESSEX)	51.979802	0.215297
WODBDGE	FOI	52.09011,1.317542	WOODBRIDGE	52.09011	1.317542
CROSSHL	FOI	55.833022,-4.256365	CROSSHILL	55.833022	-4.256365
AMERMWD	FOI	51.68021,-0.627387	MANTLES WOOD	51.68021	-0.627387
CUPAR	FOI	56.317082,-3.00905	CUPAR	56.317082	-3.00905
GBGHLRD	FOI	53.385996,-0.769274	GAINSBOROUGH LEA ROAD	53.385996	-0.769274
LENZIE	FOI	55.921236,-4.154382	LENZIE	55.921236	-4.154382
TMPCMB	FOI	50.983153,-2.392943	TEMPLECOMBE	50.983153	-2.392943
QUNPARK	FOI	55.835437,-4.267253	QUEENS PARK (STRATHCLYDE)	55.835437	-4.267253
SHERBRN	FOI	50.943849,-2.513214	SHERBORNE	50.943849	-2.513214
DGLROAD	FOI	51.439811,-3.179548	DINGLE ROAD	51.439811	-3.179548
KETTON	FOI	52.625229,-0.547544	KETTON S.B.	52.625229	-0.547544
STALBCS	FOI	51.751835,-0.327329	ST ALBANS CENTRE SIDINGS	51.751835	-0.327329
ASHFDYW	FOI	51.1416,0.879455	ASHFORD DOWN YD WASHER RD	51.1416	0.879455
SAXILBY	FOI	53.267225,-0.664414	SAXILBY	53.267225	-0.664414
LOWDHAM	FOI	53.00631,-0.998374	LOWDHAM	53.00631	-0.998374
SWALE	FOI	51.38919,0.747117	SWALE	51.38919	0.747117
AVNCLFF	FOI	51.33954,-2.281899	AVONCLIFF	51.33954	-2.281899
BUSHEY	FOI	51.644792,-0.384965	BUSHEY	51.644792	-0.384965
GTCHSFD	FOI	52.059729,0.193473	GREAT CHESTERFORD	52.059729	0.193473
WMBYEFT	FOI	51.543411,-0.279114	WEMBLEY EUR FRT OPS CNTRE	51.543411	-0.279114
DORNGTN	FOI	52.625984,-2.770673	DORRINGTON	52.625984	-2.770673
LCHTTVH	FOI	52.687054,-1.800199	LICHFIELD TRENT VALLEY HL	52.687054	-1.800199
MSHBRKX	FOI	52.503687,-2.823586	MARSH BROOK LEVEL CROSSING	52.503687	-2.823586
LEIGHK	FOI	51.193949,0.211685	LEIGH (KENT)	51.193949	0.211685
PNSHRST	FOI	51.19728,0.173083	PENSHURST	51.19728	0.173083
STEETON	FOI	53.899859,-1.944096	STEETON & SILSDEN	53.899859	-1.944096
QUENBRO	FOI	51.416056,0.749735	QUEENBOROUGH	51.416056	0.749735
SWNT	FOI	53.51476,-2.336918	SWINTON	53.51476	-2.336918
DUNDCJ	FOI	56.454237,-2.979325	DUNDEE CENTRAL JN	56.454237	-2.979325
HEDGEND	FOI	50.932944,-1.29549	HEDGE END	50.932944	-1.29549
TREETNJ	FOI	53.386483,-1.355768	TREETON JN	53.386483	-1.355768
MELTON	FOI	52.104357,1.338216	MELTON	52.104357	1.338216
ATTRCLI	NaPTAN_MAP	53.392300,-1.429979	Attercliffe (Sheffield Supertram)	53.392300	-1.429979
BRGLCAR	NaPTAN_MAP	53.405546,-1.410849	Carbrook (Sheffield Supertram)	53.405546	-1.410849
BRGLVAL	NaPTAN_MAP	53.402194,-1.412671	Valley Centertainment (Sheffield Supertram)	53.402194	-1.412671
SHEFARE	NaPTAN_MAP	53.398196,-1.420501	Sheffield Arena - Don Valley (Sheffield Supertram)	53.398196	-1.420501
TINSMEA	OSM	53.414377,-1.40507	Meadowhall South / Tinsley	53.414377	-1.40507
BRUNDLG	FOI	52.623387,1.418442	BRUNDALL GARDENS	52.623387	1.418442
WDBRNRD	NaPTAN_MAP	53.388852,-1.434551	Woodbourn Road (Sheffield Supertram)	53.388852	-1.434551
HABRO	FOI	53.605983,-0.268755	HABROUGH	53.605983	-0.268755
NNRYSQU	NaPTAN_MAP	53.385506,-1.441767	Nunnery Square (Sheffield Supertram)	53.385506	-1.441767
SHEFCAS	NaPTAN_MAP	53.383092,-1.466064	Castle Square (Sheffield Supertram)	53.383092	-1.466064
SHEFCIR	NaPTAN_MAP	53.384010,-1.446628	Cricket Inn Road (Sheffield Supertram)	53.384010	-1.446628
SHEFFIT	NaPTAN_MAP	53.383172,-1.463883	Fitzalan Sq - Ponds Forge (Sheffield Supertram)	53.383172	-1.463883
SHEFHYD	NaPTAN_MAP	53.384621,-1.452408	Hyde Park (South Yorkshire Supertram)	53.384621	-1.452408
DMBRTNE	FOI	55.942621,-4.554209	DUMBARTON EAST	55.942621	-4.554209
HTCP	FOI	53.426097,-2.179405	HEATON CHAPEL	53.426097	-2.179405
LARBERT	FOI	56.021824,-3.829833	LARBERT	56.021824	-3.829833
LVHM	FOI	53.444664,-2.192913	LEVENSHULME	53.444664	-2.192913
MANTLFF	FOI	52.613239,-0.605411	LUFFENHAM	52.613239	-0.605411
WTFDSJN	FOI	51.63938,-0.44912	WATFORD SOUTH JN_(MET)	51.63938	-0.44912
AYLESFD	FOI	51.301582,0.465496	AYLESFORD	51.301582	0.465496
STHLNSC	FOI	53.45253,-2.730054	ST HELENS CENTRAL	53.45253	-2.730054
HALG	FOI	51.352221,0.445076	HALLING	51.352221	0.445076
MSTONEB	FOI	51.276775,0.514226	MAIDSTONE BARRACKS	51.276775	0.514226
NWHYTHE	FOI	51.312634,0.455283	NEW HYTHE	51.312634	0.455283
BSHB	FOI	55.903993,-4.224441	BISHOPBRIGGS	55.903993	-4.224441
HAGFOLD	FOI	53.533504,-2.493761	HAG FOLD	53.533504	-2.493761
WHTCHRH	FOI	51.237561,-1.33779	WHITCHURCH (HANTS)	51.237561	-1.33779
CHOS	FOI	53.75052,-2.390818	CHURCH & OSWALDTWISTLE	53.75052	-2.390818
PREES	FOI	52.899493,-2.689502	PREES	52.899493	-2.689502
ABRDEEN	FOI	57.142087,-2.097309	ABERDEEN	57.142087	-2.097309
APDR	FOI	51.032845,0.816118	APPLEDORE (KENT)	51.032845	0.816118
COATBDS	FOI	55.866901,-4.027939	COATBRIDGE SUNNYSIDE	55.866901	-4.027939
LTLKMBL	FOI	51.752357,-0.808565	LITTLE KIMBLE	51.752357	-0.808565
NWMKET	FOI	52.238231,0.407073	NEWMARKET	52.238231	0.407073
SHELFD	FOI	52.149215,0.139883	SHELFORD	52.149215	0.139883
SHNS	FOI	52.639106,-1.844409	SHENSTONE	52.639106	-1.844409
WRENBRY	FOI	53.019405,-2.595947	WRENBURY	53.019405	-2.595947
WORKSOP	FOI	53.311467,-1.122457	WORKSOP	53.311467	-1.122457
ULCEBY	FOI	53.61919,-0.300812	ULCEBY	53.61919	-0.300812
EXMOTHJ	FOI	50.733091,-3.509941	EXMOUTH JN	50.733091	-3.509941
CREWBHN	FOI	53.069652,-2.422321	CREWE BAS HALL S.S.N.	53.069652	-2.422321
NLRTEJN	FOI	54.341639,-1.442034	NORTHALLERTON EAST JN	54.341639	-1.442034
SHIRLEY	FOI	52.403392,-1.84515	SHIRLEY	52.403392	-1.84515
BINGHAM	FOI	52.954186,-0.951246	BINGHAM	52.954186	-0.951246
CONONLY	FOI	53.917236,-2.011839	CONONLEY	53.917236	-2.011839
COSFORD	FOI	52.644831,-2.300659	COSFORD	52.644831	-2.300659
PELHMST	FOI	53.225181,-0.536567	PELHAM STREET JN.	53.225181	-0.536567
REDGGPK	FOI	51.457889,-0.988796	READING GREEN PARK	51.457889	-0.988796
CHNLY	FOI	53.340199,-1.944271	CHINLEY	53.340199	-1.944271
WSHFORD	FOI	51.11735,-1.889084	WISHFORD	51.11735	-1.889084
UPTNLOV	FOI	51.164169,-2.080609	UPTON LOVELL	51.164169	-2.080609
WYLYAHB	FOI	51.118458,-1.890638	WYLYE AHB	51.118458	-1.890638
ALSAGER	FOI	53.093039,-2.29852	ALSAGER	53.093039	-2.29852
GUISELY	FOI	53.876104,-1.715231	GUISELEY	53.876104	-1.715231
LOSTCKP	FOI	53.572871,-2.494507	LOSTOCK	53.572871	-2.494507
PWCKAPT	FOI	55.508909,-4.61413	PRESTWICK INT. AIRPORT	55.508909	-4.61413
HOPD	FOI	53.345955,-1.729467	HOPE (DERBYSHIRE)	53.345955	-1.729467
TISBURY	FOI	51.060599,-2.079244	TISBURY	51.060599	-2.079244
LCHTTVL	FOI	52.687009,-1.800228	LICHFIELD TRENT VALLEY LL	52.687009	-1.800228
WRGTWST	NaPTAN	53.394030,-2.638027	Warrington West Rail Station	53.394030	-2.638027
HALSWTH	FOI	52.346707,1.505967	HALESWORTH	52.346707	1.505967
REST402	FOI	55.813648,-2.041318	RESTON SIGNAL EG402	55.813648	-2.041318
GRMSBYT	FOI	53.563403,-0.086607	GRIMSBY TOWN	53.563403	-0.086607
TORQUAY	FOI	50.461025,-3.543258	TORQUAY	50.461025	-3.543258
RPLLRRJ	FOI	51.529308,0.1169	RIPPLE LANE RENWICK RD JN	51.529308	0.1169
SMTHWKW	FOI	52.501366,-1.983163	SMETHWICK JN	52.501366	-1.983163
DARSHAM	FOI	52.273417,1.523591	DARSHAM	52.273417	1.523591
SMBG	FOI	53.633009,-2.113804	SMITHY BRIDGE	53.633009	-2.113804
MARPLWJ	FOI	53.406951,-2.066312	MARPLE WHARF JN	53.406951	-2.066312
GRATELY	FOI	51.170315,-1.619813	GRATELEY	51.170315	-1.619813
SPRD	FOI	52.444222,-1.836283	SPRING ROAD	52.444222	-1.836283
HLGN	FOI	52.436863,-1.84571	HALL GREEN	52.436863	-1.84571
MARPLE	FOI	53.400727,-2.057293	MARPLE	53.400727	-2.057293
YRDLYWD	FOI	52.421034,-1.854573	YARDLEY WOOD	52.421034	-1.854573
BREDBRY	FOI	53.422936,-2.110232	BREDBURY	53.422936	-2.110232
EVESHAM	FOI	52.09853,-1.947547	EVESHAM	52.09853	-1.947547
PENGAM	FOI	51.67004,-3.230103	PENGAM	51.67004	-3.230103
PSTA	FOI	53.336208,-3.407167	PRESTATYN	53.336208	-3.407167
HENGOED	FOI	51.646979,-3.225562	HENGOED	51.646979	-3.225562
BLOXWCH	FOI	52.618315,-2.011611	BLOXWICH	52.618315	-2.011611
CFLATTS	FOI	53.858428,-1.844719	CROSSFLATTS	53.858428	-1.844719
PRYBR	FOI	52.516385,-1.902373	PERRY BARR	52.516385	-1.902373
CRWNSTJ	FOI	53.543524,-2.563356	CROW NEST JN	53.543524	-2.563356
MINMARS	FOI	51.99236,-1.700394	MORETON-IN-MARSH	51.99236	-1.700394
FLINT	FOI	53.249656,-3.132157	FLINT	53.249656	-3.132157
GLGCLL	FOI	55.858491,-4.258417	GLASGOW CENTRAL	55.858491	-4.258417
SAIR	FOI	53.838483,-1.790602	SALTAIRE	53.838483	-1.790602
SHRWBAF	FOI	52.70959,-2.741092	SHREWSBURY ABBEY FOREGATE	52.70959	-2.741092
BURLYIW	FOI	53.907879,-1.75313	BURLEY-IN-WHARFEDALE	53.907879	-1.75313
RYEE	FOI	50.953201,0.732011	RYE	50.953201	0.732011
GLYNDE	FOI	50.859114,0.070189	GLYNDE	50.859114	0.070189
OVTN	FOI	51.254196,-1.259699	OVERTON	51.254196	-1.259699
DONCBJN	FOI	53.514742,-1.13992	BRIDGE JN	53.514742	-1.13992
MLDTHRD	FOI	53.433986,-2.208744	MAULDETH ROAD	53.433986	-2.208744
WEELEY	FOI	51.852964,1.11508	WEELEY	51.852964	1.11508
BRNGTN	FOI	53.432008,-2.134292	BRINNINGTON	53.432008	-2.134292
NRTHCA	BPLAN	51.444638,0.32397	Northfleet - The Hive	51.444638	0.32397
SWNSGD	BPLAN	51.450284,0.311303	Swanscombe-George & Dragon	51.450284	0.311303
SOHAM	FOI	52.334199,0.327982	SOHAM	52.334199	0.327982
CHSTRSJ	FOI	53.191205,-2.899537	CHESTER SOUTH JN.	53.191205	-2.899537
KETRSJ	FOI	52.379012,-0.716274	KETTERING STH JN	52.379012	-0.716274
SUNBURY	FOI	51.418297,-0.417409	SUNBURY	51.418297	-0.417409
ELMSWEL	FOI	52.238153,0.912319	ELMSWELL	52.238153	0.912319
HAMPTON	FOI	51.415887,-0.372034	HAMPTON	51.415887	-0.372034
UPMNLT	FOI	51.559066,0.25156	UPMINSTER L.T.	51.559066	0.25156
LARBERJ	FOI	56.012337,-3.833876	LARBERT JN	56.012337	-3.833876
UHALIFD	FOI	51.413147,-0.430917	UPPER HALLIFORD	51.413147	-0.430917
SOAVPWY	FOI	52.209817,-1.739078	STRATFORD PARKWAY	52.209817	-1.739078
SMTHKRS	FOI	52.49623,-1.969304	SMETHWICK ROLFE STREET	52.49623	-1.969304
RADFDJ	FOI	52.956339,-1.184486	RADFORD JN	52.956339	-1.184486
PRKSGJN	FOI	51.944971,1.238059	PARKESTON GOODS JUNCTION	51.944971	1.238059
CHBURY	FOI	51.872481,-1.490027	CHARLBURY	51.872481	-1.490027
DORE	FOI	53.327498,-1.515344	DORE & TOTLEY	53.327498	-1.515344
STRUD	FOI	51.744306,-2.218889	STROUD	51.744306	-2.218889
BAGE	FOI	53.421831,-2.215305	BURNAGE	53.421831	-2.215305
FISKRTN	FOI	53.060548,-0.911897	FISKERTON	53.060548	-0.911897
KNTNGWJ	FOI	53.706425,-1.264543	KNOTTINGLEY WEST JN	53.706425	-1.264543
AIRDRIE	FOI	55.864095,-3.981719	AIRDRIE	55.864095	-3.981719
ELGHSJN	FOI	50.961422,-1.344626	EASTLEIGH SOUTH JN	50.961422	-1.344626
RDHAMN	FOI	52.564486,1.559281	REEDHAM (NORFOLK)	52.564486	1.559281
WDNYMNR	FOI	52.396104,-1.774281	WIDNEY MANOR	52.396104	-1.774281
BNRHYDN	FOI	53.925731,-1.79775	BEN RHYDDING	53.925731	-1.79775
LNGROCK	FOI	50.12825,-5.502569	LONG ROCK	50.12825	-5.502569
STNHSE	FOI	51.745994,-2.279557	STONEHOUSE	51.745994	-2.279557
CHDNGTN	FOI	51.858338,-0.662038	CHEDDINGTON	51.858338	-0.662038
HERTFDE	FOI	51.7994,-0.071751	HERTFORD EAST	51.7994	-0.071751
GBROTJ	FOI	53.384859,-0.781154	GAINSBOROUGH TRENT JNS	53.384859	-0.781154
WTRNGBY	FOI	51.249602,0.422302	WATERINGBURY	51.249602	0.422302
EFARLGH	FOI	51.255192,0.483852	EAST FARLEIGH	51.255192	0.483852
OULTNBS	FOI	52.469519,1.707431	OULTON BROAD SOUTH	52.469519	1.707431
FRDSHM	FOI	53.295741,-2.723716	FRODSHAM	53.295741	-2.723716
NWTOA	FOI	55.473781,-4.625871	NEWTON-ON-AYR	55.473781	-4.625871
AYLSPWY	FOI	51.830655,-0.859397	AYLESBURY VALE PARKWAY	51.830655	-0.859397
INCE	FOI	53.539101,-2.612895	INCE	53.539101	-2.612895
REST403	FOI	55.813648,-2.041318	RESTON SIGNAL EG403	55.813648	-2.041318
CPNHRST	FOI	53.26009,-2.942463	CAPENHURST	53.26009	-2.942463
KINGHAM	FOI	51.902238,-1.628539	KINGHAM	51.902238	-1.628539
KMPTNPK	FOI	51.421152,-0.409098	KEMPTON PARK	51.421152	-0.409098
MENSTON	FOI	53.892292,-1.735389	MENSTON	53.892292	-1.735389
RTHGLEN	FOI	55.831238,-4.21361	RUTHERGLEN	55.831238	-4.21361
WCKHMMR	FOI	52.151052,1.39875	WICKHAM MARKET	52.151052	1.39875
MILKNPK	FOI	55.824683,-4.534464	MILLIKEN PARK	55.824683	-4.534464
WORCTJN	FOI	52.201147,-2.207492	TUNNEL JN	52.201147	-2.207492
HMST	FOI	51.068427,0.854666	HAM STREET	51.068427	0.854666
HTRBUS2	OSM	51.469273,-0.451799	Heathrow Terminal 2	51.469273	-0.451799
UPHALL	FOI	55.918976,-3.502245	UPHALL	55.918976	-3.502245
ACTCWHF	FOI	51.529614,-0.254549	ACTON CANAL WHARF	51.529614	-0.254549
SWRBBDG	FOI	53.707863,-1.906855	SOWERBY BRIDGE	53.707863	-1.906855
BTHGATE	FOI	55.89962,-3.640982	BATHGATE	55.89962	-3.640982
WITTON	FOI	52.512152,-1.883905	WITTON	52.512152	-1.883905
HEATHJ	FOI	51.512843,-3.18044	HEATH JN	51.512843	-3.18044
SLNYJN	FOI	53.18228,-2.914718	SALTNEY JN	53.18228	-2.914718
CAMELON	FOI	56.006215,-3.818269	CAMELON	56.006215	-3.818269
HANDBRO	FOI	51.824657,-1.372662	HANBOROUGH	51.824657	-1.372662
HDNS	FOI	52.709903,-2.001985	HEDNESFORD	52.709903	-2.001985
CORBY	FOI	52.487749,-0.688795	CORBY	52.487749	-0.688795
FARENJN	FOI	50.855761,-1.193993	FAREHAM NORTH JN	50.855761	-1.193993
LIFODEJ	FOI	52.418247,-1.921042	LIFFORD EAST JN	52.418247	-1.921042
STJAMSP	FOI	50.730966,-3.522597	ST JAMES' PARK	50.730966	-3.522597
WLSDHLS	FOI	51.537756,-0.261461	WILLESDEN RAILNET RECEPTN	51.537756	-0.261461
EASTHAM	BPLAN	51.539002,0.051606	Eastham LT	51.539002	0.051606
MBRK	FOI	50.911385,-1.433588	MILLBROOK (HANTS)	50.911385	-1.433588
